symbol,timeframe,type,entry_time,entry_price,exit_time,exit_price,reason,pnl,duration
BCH/USDT,15m,LONG,2025-11-28 14:00:00,541.2,2025-11-28 14:30:00,541.2,SL_BE,0.00041764679058733624,2
BCH/USDT,15m,SHORT,2025-11-29 00:45:00,534.7,2025-11-29 06:45:00,530.6276684763817,TP2,0.007616105336858696,24
BCH/USDT,15m,LONG,2025-12-02 01:00:00,527.4,2025-12-02 03:00:00,527.4,SL_BE,0.0014904458808879797,8
ZEC/USDT,15m,LONG,2025-12-02 15:30:00,381.63,2025-12-02 16:45:00,353.35,SL_VWAP,-0.0741031889526504,5
DAI/USDT,15m,SHORT,2020-08-05 18:30:00,1.0135,2020-08-05 18:45:00,1.0147,SL_CANDLE,-0.0011840157868770278,1
DAI/USDT,15m,SHORT,2020-08-06 01:00:00,1.0133,2020-08-06 01:30:00,1.0133,SL_BE,5.718135613637002e-05,2
DAI/USDT,15m,SHORT,2020-08-06 14:45:00,1.0135,2020-08-06 16:15:00,1.0135,SL_BE,0.00010140352959731807,6
DAI/USDT,15m,SHORT,2020-08-09 10:45:00,1.0144,2020-08-09 11:00:00,1.0161,SL_VWAP,-0.0016758675078864698,1
DAI/USDT,15m,SHORT,2020-08-10 08:15:00,1.0141,2020-08-10 08:45:00,1.0167,SL_CANDLE,-0.0025638497189625635,2
DAI/USDT,15m,SHORT,2020-08-10 09:30:00,1.0157,2020-08-10 10:00:00,1.0176,SL_CANDLE,-0.0018706310918578445,2
DAI/USDT,15m,SHORT,2020-08-10 17:15:00,1.0136,2020-08-10 17:30:00,1.0132209762037727,TP2,0.00037393823621481863,1
DAI/USDT,15m,SHORT,2020-08-11 08:45:00,1.015,2020-08-11 09:00:00,1.0161,SL_CANDLE,-0.0010837438423646315,1
DAI/USDT,15m,LONG,2020-08-11 11:30:00,1.0165,2020-08-11 14:15:00,1.0175621890362805,TP2,0.0010449474041126664,11
UNI/USDT,15m,SHORT,2025-11-28 16:15:00,6.129,2025-11-28 21:00:00,6.219,SL_VWAP,-0.014684287812041239,19
TAO/USDT,15m,LONG,2025-11-28 14:45:00,308.5,2025-11-28 16:00:00,307.6,SL_VWAP,-0.0029173419773094885,5
AAVE/USDT,15m,LONG,2025-11-30 03:45:00,189.92,2025-11-30 04:00:00,190.34276483747058,TP2,0.0022260153615764272,1
USD1/USDT,15m,LONG,2025-12-01 03:15:00,0.9994,2025-12-01 03:30:00,0.9993,SL_CANDLE,-0.00010006003602160195,1
ENA/USDT,15m,SHORT,2025-11-30 10:30:00,0.2808,2025-11-30 13:15:00,0.2808,SL_BE,0.0008997837009703202,11
ICP/USDT,15m,SHORT,2025-12-02 09:30:00,3.637,2025-12-02 10:30:00,3.655,SL_VWAP,-0.004949133901567169,4
PAXG/USDT,15m,LONG,2025-12-03 14:30:00,4236.05,2025-12-03 14:45:00,4231.31,SL_CANDLE,-0.0011189669621462877,1
FIL/USDT,15m,LONG,2025-11-28 16:30:00,1.663,2025-11-28 17:00:00,1.663,SL_BE,0.0014962384175476562,2
FDUSD/USDT,15m,LONG,2025-12-01 10:45:00,0.9968,2025-12-01 12:45:00,0.9968,SL_BE,2.7713936391485365e-05,8
IMX/USDT,15m,LONG,2025-11-28 11:30:00,0.32,2025-11-28 13:00:00,0.318,SL_CANDLE,-0.0062500000000000056,6
FET/USDT,15m,LONG,2025-11-28 08:00:00,0.2706,2025-11-28 08:15:00,0.2767358924745632,TP1+TP2,0.017705022830676962,1
CRV/USDT,15m,SHORT,2025-11-28 18:30:00,0.4318,2025-11-28 18:45:00,0.4326,SL_CANDLE,-0.0018527095877720412,1
TUSD/USDT,15m,SHORT,2025-11-28 14:45:00,0.9963,2025-11-28 15:00:00,0.9961298178683232,TP2,0.00017081414400957923,1
TWT/USDT,15m,LONG,2025-12-02 13:00:00,0.9767,2025-12-02 13:30:00,1.014250556737492,TP2,0.03844635685214699,2
SUN/USDT,15m,LONG,2025-12-02 15:00:00,0.02038,2025-12-02 20:15:00,0.02038,SL_BE,0.0004360930858689606,21
LUNC/USDT,15m,LONG,2025-11-28 19:30:00,2.81e-05,2025-11-28 20:30:00,2.81e-05,SL_BE,0.001039200988366999,4
ZRO/USDT,15m,LONG,2025-11-30 10:15:00,1.335,2025-11-30 10:30:00,1.33,SL_CANDLE,-0.0037453183520598453,1
DCR/USDT,15m,LONG,2025-11-29 00:15:00,25.56,2025-11-29 04:45:00,24.43,SL_VWAP,-0.04420970266040685,18
COMP/USDT,15m,LONG,2025-11-28 10:45:00,30.47,2025-11-28 11:00:00,30.36,SL_CANDLE,-0.003610108303249079,1
COMP/USDT,15m,LONG,2025-12-01 04:15:00,34.1,2025-12-01 05:00:00,33.88,SL_VWAP,-0.006451612903225773,3
SYRUP/USDT,15m,LONG,2025-11-28 23:45:00,0.2911,2025-11-29 00:15:00,0.2879,SL_CANDLE,-0.010992785984197994,2
SYRUP/USDT,15m,LONG,2025-11-29 00:30:00,0.2905,2025-11-29 02:00:00,0.2871,SL_CANDLE,-0.011703958691910358,6
